Datetime,Water Level (m)
2022-12-11 06:00:00,-0.36076733
2022-12-11 07:00:00,-0.3028582
2022-12-11 08:00:00,-0.14697568
2022-12-11 09:00:00,0.013546756
2022-12-11 10:00:00,0.09449521
2022-12-11 11:00:00,0.101288654
2022-12-11 12:00:00,0.024466867
2022-12-11 13:00:00,-0.08325847
2022-12-11 14:00:00,-0.17846715
2022-12-11 15:00:00,-0.29302052
2022-12-11 16:00:00,-0.4070498
2022-12-11 17:00:00,-0.5045783
2022-12-11 18:00:00,-0.5060263
2022-12-11 19:00:00,-0.3631016
2022-12-11 20:00:00,-0.11382903
2022-12-11 21:00:00,0.098305285
2022-12-11 22:00:00,0.2713106
2022-12-11 23:00:00,0.37693444
2022-12-12 00:00:00,0.35735026
2022-12-12 01:00:00,0.26625547
2022-12-12 02:00:00,0.16027182
2022-12-12 03:00:00,0.041562077
2022-12-12 04:00:00,-0.086915076
2022-12-12 05:00:00,-0.22194983
2022-12-12 06:00:00,-0.33880967
2022-12-12 07:00:00,-0.36813605
2022-12-12 08:00:00,-0.26824674
2022-12-12 09:00:00,-0.11767372
2022-12-12 10:00:00,-0.0027159748
2022-12-12 11:00:00,0.047097288
2022-12-12 12:00:00,0.028520713
2022-12-12 13:00:00,-0.045607813
2022-12-12 14:00:00,-0.13561058
2022-12-12 15:00:00,-0.22476791
2022-12-12 16:00:00,-0.32713273
2022-12-12 17:00:00,-0.42975783
2022-12-12 18:00:00,-0.49057442
2022-12-12 19:00:00,-0.42278355
2022-12-12 20:00:00,-0.24711369
2022-12-12 21:00:00,-0.0077399453
2022-12-12 22:00:00,0.17209949
2022-12-12 23:00:00,0.31187832
2022-12-13 00:00:00,0.3623383
2022-12-13 01:00:00,0.29933575
2022-12-13 02:00:00,0.20678289
2022-12-13 03:00:00,0.09533897
2022-12-13 04:00:00,-0.021017477
2022-12-13 05:00:00,-0.14959137
2022-12-13 06:00:00,-0.27412853
2022-12-13 07:00:00,-0.35872853
2022-12-13 08:00:00,-0.3322658
2022-12-13 09:00:00,-0.21932201
2022-12-13 10:00:00,-0.08115104
2022-12-13 11:00:00,0.00044401226
2022-12-13 12:00:00,0.032425527
2022-12-13 13:00:00,-0.00062572956
2022-12-13 14:00:00,-0.076753244
2022-12-13 15:00:00,-0.15551315
2022-12-13 16:00:00,-0.24414012
2022-12-13 17:00:00,-0.33665037
2022-12-13 18:00:00,-0.42412603
2022-12-13 19:00:00,-0.4407692
2022-12-13 20:00:00,-0.3333758
2022-12-13 21:00:00,-0.12915352
2022-12-13 22:00:00,0.06959502
2022-12-13 23:00:00,0.22240457
2022-12-14 00:00:00,0.32476613
2022-12-14 01:00:00,0.32474908
2022-12-14 02:00:00,0.2395661
2022-12-14 03:00:00,0.14469488
2022-12-14 04:00:00,0.034099903
